YEAR,STATE_NAME,STATE_ABBREV,STATE_FIPS,opioid_dispensing_rate
2013,Maine,ME,23.0,85.9
2014,Maine,ME,23.0,82.4
2015,Maine,ME,23.0,76.5
2016,Maine,ME,23.0,66.9
2017,Maine,ME,23.0,55.5
2018,Maine,ME,23.0,48.1
2019,Maine,ME,23.0,44.3
2020,Maine,ME,23.0,40.0
2021,Maine,ME,23.0,38.1
2022,Maine,ME,23.0,35.1
2023,Maine,ME,23.0,33.8
2006,Michigan,MI,26.0,80.2
2007,Michigan,MI,26.0,85.6
2008,Michigan,MI,26.0,89.9
2009,Michigan,MI,26.0,91.6
2010,Michigan,MI,26.0,96.0
2011,Michigan,MI,26.0,98.8
2012,Michigan,MI,26.0,100.7
2013,Michigan,MI,26.0,98.9
2014,Michigan,MI,26.0,98.0
2015,Michigan,MI,26.0,90.5
2016,Michigan,MI,26.0,84.9
2017,Michigan,MI,26.0,75.5
2018,Michigan,MI,26.0,62.7
2019,Michigan,MI,26.0,58.1
2020,Michigan,MI,26.0,54.0
2021,Michigan,MI,26.0,53.3
2022,Michigan,MI,26.0,50.3
2023,Michigan,MI,26.0,47.9
2006,Minnesota,MN,27.0,50.3
2007,Minnesota,MN,27.0,53.7
2008,Minnesota,MN,27.0,56.5
2009,Minnesota,MN,27.0,58.6
2010,Minnesota,MN,27.0,59.0
2011,Minnesota,MN,27.0,60.0
2012,Minnesota,MN,27.0,60.9
2013,Minnesota,MN,27.0,58.3
2014,Minnesota,MN,27.0,56.6
2015,Minnesota,MN,27.0,52.1
2016,Minnesota,MN,27.0,46.9
2017,Minnesota,MN,27.0,40.8
2018,Minnesota,MN,27.0,35.5
2019,Minnesota,MN,27.0,32.2
2020,Minnesota,MN,27.0,30.0
2021,Minnesota,MN,27.0,29.6
2022,Minnesota,MN,27.0,27.8
2023,Minnesota,MN,27.0,26.5
2006,Missouri,MO,29.0,80.5
2007,Missouri,MO,29.0,84.3
2008,Missouri,MO,29.0,86.8
2009,Missouri,MO,29.0,88.5
2010,Missouri,MO,29.0,91.0
2011,Missouri,MO,29.0,91.6
2012,Missouri,MO,29.0,95.4
2013,Missouri,MO,29.0,93.3
2014,Missouri,MO,29.0,90.7
2015,Missouri,MO,29.0,84.5
2016,Missouri,MO,29.0,80.4
2017,Missouri,MO,29.0,72.2
2018,Missouri,MO,29.0,63.4
2019,Missouri,MO,29.0,58.4
2020,Missouri,MO,29.0,54.4
2021,Missouri,MO,29.0,52.9
2022,Missouri,MO,29.0,49.4
2023,Missouri,MO,29.0,47.0
2006,Mississippi,MS,28.0,102.7
2007,Mississippi,MS,28.0,109.9
2008,Mississippi,MS,28.0,113.2
2009,Mississippi,MS,28.0,117.3
2010,Mississippi,MS,28.0,118.1
2011,Mississippi,MS,28.0,117.2
2012,Mississippi,MS,28.0,121.8
2013,Mississippi,MS,28.0,119.6
2014,Mississippi,MS,28.0,116.3
2015,Mississippi,MS,28.0,110.9
2016,Mississippi,MS,28.0,105.6
2017,Mississippi,MS,28.0,93.4
2018,Mississippi,MS,28.0,76.8
2019,Mississippi,MS,28.0,67.1
2020,Mississippi,MS,28.0,64.5
2021,Mississippi,MS,28.0,65.1
2022,Mississippi,MS,28.0,64.0
2023,Mississippi,MS,28.0,63.1
2006,Montana,MT,30.0,79.1
2007,Montana,MT,30.0,81.1
2008,Montana,MT,30.0,85.3
2009,Montana,MT,30.0,85.8
2010,Montana,MT,30.0,87.2
2011,Montana,MT,30.0,85.3
2012,Montana,MT,30.0,87.7
2013,Montana,MT,30.0,84.2
2014,Montana,MT,30.0,80.1
2015,Montana,MT,30.0,73.3
2016,Montana,MT,30.0,69.8
2017,Montana,MT,30.0,61.3
2018,Montana,MT,30.0,54.0
2019,Montana,MT,30.0,48.3
2020,Montana,MT,30.0,45.9
2021,Montana,MT,30.0,44.3
2022,Montana,MT,30.0,41.9
2023,Montana,MT,30.0,40.4
2006,North Carolina,NC,37.0,85.2
2007,North Carolina,NC,37.0,87.5
2008,North Carolina,NC,37.0,88.6
2009,North Carolina,NC,37.0,89.3
2010,North Carolina,NC,37.0,93.1
2011,North Carolina,NC,37.0,93.5
2012,North Carolina,NC,37.0,98.6
2013,North Carolina,NC,37.0,96.7
2014,North Carolina,NC,37.0,93.7
2015,North Carolina,NC,37.0,88.4
2016,North Carolina,NC,37.0,82.5
2017,North Carolina,NC,37.0,72.2
2018,North Carolina,NC,37.0,61.5
2019,North Carolina,NC,37.0,56.9
2020,North Carolina,NC,37.0,53.8
2021,North Carolina,NC,37.0,52.1
2022,North Carolina,NC,37.0,49.0
2023,North Carolina,NC,37.0,46.7
2006,North Dakota,ND,38.0,56.0
2007,North Dakota,ND,38.0,59.3
2008,North Dakota,ND,38.0,61.7
2009,North Dakota,ND,38.0,60.3
2010,North Dakota,ND,38.0,63.0
2011,North Dakota,ND,38.0,61.3
2012,North Dakota,ND,38.0,62.1
2013,North Dakota,ND,38.0,60.1
2014,North Dakota,ND,38.0,58.1
2015,North Dakota,ND,38.0,53.0
2016,North Dakota,ND,38.0,47.8
2017,North Dakota,ND,38.0,41.7
2018,North Dakota,ND,38.0,37.4
2019,North Dakota,ND,38.0,38.8
2020,North Dakota,ND,38.0,36.1
2021,North Dakota,ND,38.0,36.7
2022,North Dakota,ND,38.0,34.0
2023,North Dakota,ND,38.0,32.4
2006,Nebraska,NE,31.0,64.3
2007,Nebraska,NE,31.0,65.1
2008,Nebraska,NE,31.0,66.2
2009,Nebraska,NE,31.0,66.4
2010,Nebraska,NE,31.0,69.0
2011,Nebraska,NE,31.0,68.8
2012,Nebraska,NE,31.0,73.2
2013,Nebraska,NE,31.0,71.3
2014,Nebraska,NE,31.0,70.1
2015,Nebraska,NE,31.0,65.5
2016,Nebraska,NE,31.0,62.8
2017,Nebraska,NE,31.0,56.6
2018,Nebraska,NE,31.0,50.6
2019,Nebraska,NE,31.0,50.4
2020,Nebraska,NE,31.0,47.6
2021,Nebraska,NE,31.0,46.7
2022,Nebraska,NE,31.0,44.5
2023,Nebraska,NE,31.0,42.7
2006,New Hampshire,NH,33.0,75.0
2007,New Hampshire,NH,33.0,78.5
2008,New Hampshire,NH,33.0,81.7
2009,New Hampshire,NH,33.0,81.5
2010,New Hampshire,NH,33.0,81.6
2011,New Hampshire,NH,33.0,80.9
2012,New Hampshire,NH,33.0,83.7
2013,New Hampshire,NH,33.0,82.0
2014,New Hampshire,NH,33.0,79.6
2015,New Hampshire,NH,33.0,74.8
2016,New Hampshire,NH,33.0,64.3
2017,New Hampshire,NH,33.0,52.5
2018,New Hampshire,NH,33.0,46.1
2019,New Hampshire,NH,33.0,38.2
2020,New Hampshire,NH,33.0,35.1
2021,New Hampshire,NH,33.0,33.7
2022,New Hampshire,NH,33.0,31.9
2023,New Hampshire,NH,33.0,30.9
2006,New Jersey,NJ,34.0,54.7
2007,New Jersey,NJ,34.0,57.2
2008,New Jersey,NJ,34.0,59.5
2009,New Jersey,NJ,34.0,59.9
2010,New Jersey,NJ,34.0,61.0
2011,New Jersey,NJ,34.0,61.5
2012,New Jersey,NJ,34.0,60.1
2013,New Jersey,NJ,34.0,58.3
2014,New Jersey,NJ,34.0,57.2
2015,New Jersey,NJ,34.0,56.0
2016,New Jersey,NJ,34.0,52.6
2017,New Jersey,NJ,34.0,45.0
2018,New Jersey,NJ,34.0,38.9
2019,New Jersey,NJ,34.0,34.9
2020,New Jersey,NJ,34.0,30.5
2021,New Jersey,NJ,34.0,29.6
2022,New Jersey,NJ,34.0,28.0
2023,New Jersey,NJ,34.0,26.3
2006,New Mexico,NM,35.0,61.8
2007,New Mexico,NM,35.0,69.0
2008,New Mexico,NM,35.0,71.4
2009,New Mexico,NM,35.0,75.3
2010,New Mexico,NM,35.0,81.9
2011,New Mexico,NM,35.0,81.6
2012,New Mexico,NM,35.0,76.8
2013,New Mexico,NM,35.0,71.4
2014,New Mexico,NM,35.0,71.5
2015,New Mexico,NM,35.0,69.8
2016,New Mexico,NM,35.0,65.1
2017,New Mexico,NM,35.0,56.4
2018,New Mexico,NM,35.0,49.4
2019,New Mexico,NM,35.0,43.5
2020,New Mexico,NM,35.0,40.3
2021,New Mexico,NM,35.0,38.6
2022,New Mexico,NM,35.0,35.6
2023,New Mexico,NM,35.0,33.7
2006,Nevada,NV,32.0,87.7
2007,Nevada,NV,32.0,90.2
2008,Nevada,NV,32.0,97.0
2009,Nevada,NV,32.0,94.0
2010,Nevada,NV,32.0,97.3
2011,Nevada,NV,32.0,100.3
2012,Nevada,NV,32.0,98.9
2013,Nevada,NV,32.0,91.1
2014,Nevada,NV,32.0,90.1
2015,Nevada,NV,32.0,85.4
2016,Nevada,NV,32.0,80.7
2017,Nevada,NV,32.0,73.2
2018,Nevada,NV,32.0,55.5
2019,Nevada,NV,32.0,49.5
2020,Nevada,NV,32.0,47.8
2021,Nevada,NV,32.0,45.2
2022,Nevada,NV,32.0,41.5
2023,Nevada,NV,32.0,40.1
2006,New York,NY,36.0,44.2
2007,New York,NY,36.0,46.1
2008,New York,NY,36.0,48.4
2009,New York,NY,36.0,49.5
2010,New York,NY,36.0,51.0
2011,New York,NY,36.0,51.1
2012,New York,NY,36.0,51.8
2013,New York,NY,36.0,46.7
2014,New York,NY,36.0,43.9
2015,New York,NY,36.0,45.1
2016,New York,NY,36.0,42.7
2017,New York,NY,36.0,38.3
2018,New York,NY,36.0,34.0
2019,New York,NY,36.0,34.9
2020,New York,NY,36.0,30.8
2021,New York,NY,36.0,30.1
2022,New York,NY,36.0,28.1
2023,New York,NY,36.0,26.3
2006,Ohio,OH,39.0,87.7
2007,Ohio,OH,39.0,92.7
2008,Ohio,OH,39.0,97.5
2009,Ohio,OH,39.0,100.4
2010,Ohio,OH,39.0,102.4
2011,Ohio,OH,39.0,101.5
2012,Ohio,OH,39.0,97.5
2013,Ohio,OH,39.0,93.1
2014,Ohio,OH,39.0,89.5
2015,Ohio,OH,39.0,82.7
2016,Ohio,OH,39.0,75.3
2017,Ohio,OH,39.0,63.8
2018,Ohio,OH,39.0,53.5
2019,Ohio,OH,39.0,51.0
2020,Ohio,OH,39.0,47.1
2021,Ohio,OH,39.0,45.8
2022,Ohio,OH,39.0,42.9
2023,Ohio,OH,39.0,40.7
2006,Oklahoma,OK,40.0,108.7
2007,Oklahoma,OK,40.0,114.4
2008,Oklahoma,OK,40.0,111.3
2009,Oklahoma,OK,40.0,115.0
2010,Oklahoma,OK,40.0,119.6
2011,Oklahoma,OK,40.0,122.3
2012,Oklahoma,OK,40.0,127.4
2013,Oklahoma,OK,40.0,123.3
2014,Oklahoma,OK,40.0,110.9
2015,Oklahoma,OK,40.0,104.4
2016,Oklahoma,OK,40.0,97.9
2017,Oklahoma,OK,40.0,88.6
2018,Oklahoma,OK,40.0,79.1
2019,Oklahoma,OK,40.0,66.4
2020,Oklahoma,OK,40.0,59.8
2021,Oklahoma,OK,40.0,58.3
2022,Oklahoma,OK,40.0,55.5
2023,Oklahoma,OK,40.0,52.9
2006,Oregon,OR,41.0,91.0
2007,Oregon,OR,41.0,95.5
2008,Oregon,OR,41.0,99.1
2009,Oregon,OR,41.0,99.3
2010,Oregon,OR,41.0,101.2
2011,Oregon,OR,41.0,100.7
2012,Oregon,OR,41.0,98.7
2013,Oregon,OR,41.0,94.2
2014,Oregon,OR,41.0,91.9
2015,Oregon,OR,41.0,84.2
2016,Oregon,OR,41.0,76.3
2017,Oregon,OR,41.0,65.8
2018,Oregon,OR,41.0,57.3
2019,Oregon,OR,41.0,49.2
2020,Oregon,OR,41.0,45.7
2021,Oregon,OR,41.0,44.6
2022,Oregon,OR,41.0,42.1
2023,Oregon,OR,41.0,40.0
2006,Pennsylvania,PA,42.0,69.5
2007,Pennsylvania,PA,42.0,73.7
2008,Pennsylvania,PA,42.0,76.5
2009,Pennsylvania,PA,42.0,78.1
2010,Pennsylvania,PA,42.0,81.0
2011,Pennsylvania,PA,42.0,81.7
2012,Pennsylvania,PA,42.0,83.3
2013,Pennsylvania,PA,42.0,81.6
2014,Pennsylvania,PA,42.0,79.9
2015,Pennsylvania,PA,42.0,75.5
2016,Pennsylvania,PA,42.0,69.5
2017,Pennsylvania,PA,42.0,58.3
2018,Pennsylvania,PA,42.0,49.9
2019,Pennsylvania,PA,42.0,47.1
2020,Pennsylvania,PA,42.0,42.5
2021,Pennsylvania,PA,42.0,40.9
2022,Pennsylvania,PA,42.0,38.5
2023,Pennsylvania,PA,42.0,36.4
2006,Rhode Island,RI,44.0,78.7
2007,Rhode Island,RI,44.0,82.2
2008,Rhode Island,RI,44.0,82.9
2009,Rhode Island,RI,44.0,82.5
2010,Rhode Island,RI,44.0,82.7
2011,Rhode Island,RI,44.0,82.5
2012,Rhode Island,RI,44.0,83.2
2013,Rhode Island,RI,44.0,76.9
2014,Rhode Island,RI,44.0,72.8
2015,Rhode Island,RI,44.0,65.7
2016,Rhode Island,RI,44.0,60.3
2017,Rhode Island,RI,44.0,51.4
