FullGeoName,YEAR,STATE_NAME,STATE_ABBREV,COUNTY_NAME,STATE_COUNTY_FIP_U,opioid_dispensing_rate
"AL, Mobile",2006,Alabama,AL,Mobile County,1097,127.7
"AL, Monroe",2006,Alabama,AL,Monroe County,1099,134.3
"AL, Montgomery",2006,Alabama,AL,Montgomery County,1101,97.5
"AL, Morgan",2006,Alabama,AL,Morgan County,1103,151.8
"AL, Perry",2006,Alabama,AL,Perry County,1105,Data unavailable
"AL, Pickens",2006,Alabama,AL,Pickens County,1107,85.5
"AL, Pike",2006,Alabama,AL,Pike County,1109,88.3
"AL, Randolph",2006,Alabama,AL,Randolph County,1111,56.4
"AL, Russell",2006,Alabama,AL,Russell County,1113,139.5
"AL, Shelby",2006,Alabama,AL,Shelby County,1117,110.4
"AL, St. Clair",2006,Alabama,AL,St. Clair County,1115,79.1
"AL, Sumter",2006,Alabama,AL,Sumter County,1119,39.0
"AL, Talladega",2006,Alabama,AL,Talladega County,1121,111.6
"AL, Tallapoosa",2006,Alabama,AL,Tallapoosa County,1123,82.9
"AL, Tuscaloosa",2006,Alabama,AL,Tuscaloosa County,1125,105.1
"AL, Walker",2006,Alabama,AL,Walker County,1127,304.1
"AL, Washington",2006,Alabama,AL,Washington County,1129,37.8
"AL, Wilcox",2006,Alabama,AL,Wilcox County,1131,45.4
"AL, Winston",2006,Alabama,AL,Winston County,1133,121.4
"AR, Arkansas",2006,Arkansas,AR,Arkansas County,5001,64.3
"AR, Ashley",2006,Arkansas,AR,Ashley County,5003,89.7
"AR, Baxter",2006,Arkansas,AR,Baxter County,5005,120.9
"AR, Benton",2006,Arkansas,AR,Benton County,5007,81.9
"AR, Boone",2006,Arkansas,AR,Boone County,5009,152.4
"AR, Bradley",2006,Arkansas,AR,Bradley County,5011,109.0
"AR, Calhoun",2006,Arkansas,AR,Calhoun County,5013,73.7
"AR, Carroll",2006,Arkansas,AR,Carroll County,5015,32.7
"AR, Chicot",2006,Arkansas,AR,Chicot County,5017,50.9
"AR, Clark",2006,Arkansas,AR,Clark County,5019,59.9
"AR, Clay",2006,Arkansas,AR,Clay County,5021,45.4
"AR, Cleburne",2006,Arkansas,AR,Cleburne County,5023,91.1
"AR, Cleveland",2006,Arkansas,AR,Cleveland County,5025,Data unavailable
"AR, Columbia",2006,Arkansas,AR,Columbia County,5027,89.9
"AR, Conway",2006,Arkansas,AR,Conway County,5029,36.8
"AR, Craighead",2006,Arkansas,AR,Craighead County,5031,166.1
"AR, Crawford",2006,Arkansas,AR,Crawford County,5033,118.8
"AR, Crittenden",2006,Arkansas,AR,Crittenden County,5035,103.2
"AR, Cross",2006,Arkansas,AR,Cross County,5037,71.5
"AR, Dallas",2006,Arkansas,AR,Dallas County,5039,78.4
"AR, Desha",2006,Arkansas,AR,Desha County,5041,143.1
"AR, Drew",2006,Arkansas,AR,Drew County,5043,63.1
"AR, Faulkner",2006,Arkansas,AR,Faulkner County,5045,96.9
"AR, Franklin",2006,Arkansas,AR,Franklin County,5047,13.8
"AR, Fulton",2006,Arkansas,AR,Fulton County,5049,43.6
"AR, Garland",2006,Arkansas,AR,Garland County,5051,177.4
"AR, Grant",2006,Arkansas,AR,Grant County,5053,22.4
"AR, Greene",2006,Arkansas,AR,Greene County,5055,153.9
"AR, Hempstead",2006,Arkansas,AR,Hempstead County,5057,92.2
"AR, Hot Spring",2006,Arkansas,AR,Hot Spring County,5059,85.2
"AR, Howard",2006,Arkansas,AR,Howard County,5061,118.0
"AR, Independence",2006,Arkansas,AR,Independence County,5063,171.7
"AR, Izard",2006,Arkansas,AR,Izard County,5065,64.4
"AR, Jackson",2006,Arkansas,AR,Jackson County,5067,133.8
"AR, Jefferson",2006,Arkansas,AR,Jefferson County,5069,82.8
"AR, Johnson",2006,Arkansas,AR,Johnson County,5071,26.4
"AR, Lafayette",2006,Arkansas,AR,Lafayette County,5073,Data unavailable
"AR, Lawrence",2006,Arkansas,AR,Lawrence County,5075,28.6
"AR, Lee",2006,Arkansas,AR,Lee County,5077,Data unavailable
"AR, Lincoln",2006,Arkansas,AR,Lincoln County,5079,32.9
"AR, Little River",2006,Arkansas,AR,Little River County,5081,82.0
"AR, Logan",2006,Arkansas,AR,Logan County,5083,43.4
"AR, Lonoke",2006,Arkansas,AR,Lonoke County,5085,67.5
"AR, Madison",2006,Arkansas,AR,Madison County,5087,60.7
"AR, Marion",2006,Arkansas,AR,Marion County,5089,47.9
"AR, Miller",2006,Arkansas,AR,Miller County,5091,54.2
"AR, Mississippi",2006,Arkansas,AR,Mississippi County,5093,106.2
"AR, Monroe",2006,Arkansas,AR,Monroe County,5095,50.7
"AR, Montgomery",2006,Arkansas,AR,Montgomery County,5097,60.1
"AR, Nevada",2006,Arkansas,AR,Nevada County,5099,Data unavailable
"AR, Newton",2006,Arkansas,AR,Newton County,5101,Data unavailable
"AR, Ouachita",2006,Arkansas,AR,Ouachita County,5103,96.5
"AR, Perry",2006,Arkansas,AR,Perry County,5105,52.9
"AR, Phillips",2006,Arkansas,AR,Phillips County,5107,155.6
"AR, Pike",2006,Arkansas,AR,Pike County,5109,Data unavailable
"AR, Poinsett",2006,Arkansas,AR,Poinsett County,5111,60.0
"AR, Polk",2006,Arkansas,AR,Polk County,5113,135.1
"AR, Pope",2006,Arkansas,AR,Pope County,5115,133.7
"AR, Prairie",2006,Arkansas,AR,Prairie County,5117,99.4
"AR, Pulaski",2006,Arkansas,AR,Pulaski County,5119,103.0
"AR, Randolph",2006,Arkansas,AR,Randolph County,5121,79.0
"AR, Saline",2006,Arkansas,AR,Saline County,5125,89.3
"AR, Scott",2006,Arkansas,AR,Scott County,5127,194.4
"AR, Searcy",2006,Arkansas,AR,Searcy County,5129,Data unavailable
"AR, Sebastian",2006,Arkansas,AR,Sebastian County,5131,171.7
"AR, Sevier",2006,Arkansas,AR,Sevier County,5133,28.5
"AR, Sharp",2006,Arkansas,AR,Sharp County,5135,157.1
"AR, St. Francis",2006,Arkansas,AR,St. Francis County,5123,73.6
"AR, Stone",2006,Arkansas,AR,Stone County,5137,120.1
"AR, Union",2006,Arkansas,AR,Union County,5139,115.3
"AR, Van Buren",2006,Arkansas,AR,Van Buren County,5141,69.0
"AR, Washington",2006,Arkansas,AR,Washington County,5143,94.2
"AR, White",2006,Arkansas,AR,White County,5145,103.9
"AR, Woodruff",2006,Arkansas,AR,Woodruff County,5147,Data unavailable
"AR, Yell",2006,Arkansas,AR,Yell County,5149,24.2
"AZ, Apache",2006,Arizona,AZ,Apache County,4001,16.0
"AZ, Cochise",2006,Arizona,AZ,Cochise County,4003,70.3
"AZ, Coconino",2006,Arizona,AZ,Coconino County,4005,55.1
"AZ, Gila",2006,Arizona,AZ,Gila County,4007,109.4
"AZ, Graham",2006,Arizona,AZ,Graham County,4009,99.6
"AZ, Greenlee",2006,Arizona,AZ,Greenlee County,4011,Data unavailable
"AZ, La Paz",2006,Arizona,AZ,La Paz County,4012,52.1
"AZ, Maricopa",2006,Arizona,AZ,Maricopa County,4013,71.7
"AZ, Mohave",2006,Arizona,AZ,Mohave County,4015,117.2
"AZ, Navajo",2006,Arizona,AZ,Navajo County,4017,67.6
"AZ, Pima",2006,Arizona,AZ,Pima County,4019,86.3
"AZ, Pinal",2006,Arizona,AZ,Pinal County,4021,69.0
"AZ, Santa Cruz",2006,Arizona,AZ,Santa Cruz County,4023,31.5
"AZ, Yavapai",2006,Arizona,AZ,Yavapai County,4025,93.7
"AZ, Yuma",2006,Arizona,AZ,Yuma County,4027,46.9
"CA, Alameda",2006,California,CA,Alameda County,6001,39.7
"CA, Alpine",2006,California,CA,Alpine County,6003,Data unavailable
"CA, Amador",2006,California,CA,Amador County,6005,105.0
"CA, Butte",2006,California,CA,Butte County,6007,154.1
"CA, Calaveras",2006,California,CA,Calaveras County,6009,87.5
"CA, Colusa",2006,California,CA,Colusa County,6011,32.2
"CA, Contra Costa",2006,California,CA,Contra Costa County,6013,50.6
"CA, Del Norte",2006,California,CA,Del Norte County,6015,127.1
"CA, El Dorado",2006,California,CA,El Dorado County,6017,83.1
"CA, Fresno",2006,California,CA,Fresno County,6019,61.5
"CA, Glenn",2006,California,CA,Glenn County,6021,84.1
"CA, Humboldt",2006,California,CA,Humboldt County,6023,132.3
"CA, Imperial",2006,California,CA,Imperial County,6025,51.7
"CA, Inyo",2006,California,CA,Inyo County,6027,76.0
"CA, Kern",2006,California,CA,Kern County,6029,59.3
"CA, Kings",2006,California,CA,Kings County,6031,60.0
"CA, Lake",2006,California,CA,Lake County,6033,139.0
"CA, Lassen",2006,California,CA,Lassen County,6035,105.3
"CA, Los Angeles",2006,California,CA,Los Angeles County,6037,37.9
"CA, Madera",2006,California,CA,Madera County,6039,48.6
"CA, Marin",2006,California,CA,Marin County,6041,55.7
"CA, Mariposa",2006,California,CA,Mariposa County,6043,33.2
"CA, Mendocino",2006,California,CA,Mendocino County,6045,114.1
"CA, Merced",2006,California,CA,Merced County,6047,60.6
"CA, Modoc",2006,California,CA,Modoc County,6049,114.4
"CA, Mono",2006,California,CA,Mono County,6051,59.7
"CA, Monterey",2006,California,CA,Monterey County,6053,62.5
"CA, Napa",2006,California,CA,Napa County,6055,40.2
"CA, Nevada",2006,California,CA,Nevada County,6057,101.0
"CA, Orange",2006,California,CA,Orange County,6059,48.3
"CA, Placer",2006,California,CA,Placer County,6061,75.5
"CA, Plumas",2006,California,CA,Plumas County,6063,106.1
"CA, Riverside",2006,California,CA,Riverside County,6065,53.2
"CA, Sacramento",2006,California,CA,Sacramento County,6067,57.9
"CA, San Benito",2006,California,CA,San Benito County,6069,49.3
"CA, San Bernardino",2006,California,CA,San Bernardino County,6071,47.5
"CA, San Diego",2006,California,CA,San Diego County,6073,44.0
"CA, San Francisco",2006,California,CA,San Francisco County,6075,42.7
"CA, San Joaquin",2006,California,CA,San Joaquin County,6077,60.5
"CA, San Luis Obispo",2006,California,CA,San Luis Obispo County,6079,77.9
"CA, San Mateo",2006,California,CA,San Mateo County,6081,39.3
"CA, Santa Barbara",2006,California,CA,Santa Barbara County,6083,66.7
"CA, Santa Clara",2006,California,CA,Santa Clara County,6085,30.3
"CA, Santa Cruz",2006,California,CA,Santa Cruz County,6087,77.2
"CA, Shasta",2006,California,CA,Shasta County,6089,179.6
"CA, Sierra",2006,California,CA,Sierra County,6091,Data unavailable
"CA, Siskiyou",2006,California,CA,Siskiyou County,6093,107.3
"CA, Solano",2006,California,CA,Solano County,6095,48.3
"CA, Sonoma",2006,California,CA,Sonoma County,6097,70.1
"CA, Stanislaus",2006,California,CA,Stanislaus County,6099,98.4
"CA, Sutter",2006,California,CA,Sutter County,6101,134.3
"CA, Tehama",2006,California,CA,Tehama County,6103,109.4
"CA, Trinity",2006,California,CA,Trinity County,6105,120.5
"CA, Tulare",2006,California,CA,Tulare County,6107,72.1
"CA, Tuolumne",2006,California,CA,Tuolumne County,6109,126.3
"CA, Ventura",2006,California,CA,Ventura County,6111,59.9
"CA, Yolo",2006,California,CA,Yolo County,6113,55.8
"CA, Yuba",2006,California,CA,Yuba County,6115,76.1
"CO, Adams",2006,Colorado,CO,Adams County,8001,52.6
"CO, Alamosa",2006,Colorado,CO,Alamosa County,8003,172.7
"CO, Arapahoe",2006,Colorado,CO,Arapahoe County,8005,56.9
"CO, Archuleta",2006,Colorado,CO,Archuleta County,8007,50.0
"CO, Baca",2006,Colorado,CO,Baca County,8009,80.4
"CO, Bent",2006,Colorado,CO,Bent County,8011,32.7
"CO, Boulder",2006,Colorado,CO,Boulder County,8013,59.3
"CO, Broomfield",2006,Colorado,CO,Broomfield County,8014,51.8
"CO, Chaffee",2006,Colorado,CO,Chaffee County,8015,88.7
"CO, Cheyenne",2006,Colorado,CO,Cheyenne County,8017,45.0
"CO, Clear Creek",2006,Colorado,CO,Clear Creek County,8019,48.2
"CO, Conejos",2006,Colorado,CO,Conejos County,8021,Data unavailable
"CO, Costilla",2006,Colorado,CO,Costilla County,8023,Data unavailable
"CO, Crowley",2006,Colorado,CO,Crowley County,8025,32.3
"CO, Custer",2006,Colorado,CO,Custer County,8027,Data unavailable
"CO, Delta",2006,Colorado,CO,Delta County,8029,81.2
"CO, Denver",2006,Colorado,CO,Denver County,8031,42.8
"CO, Dolores",2006,Colorado,CO,Dolores County,8033,Data unavailable
"CO, Douglas",2006,Colorado,CO,Douglas County,8035,55.5
"CO, Eagle",2006,Colorado,CO,Eagle County,8037,51.9
"CO, El Paso",2006,Colorado,CO,El Paso County,8041,66.3
"CO, Elbert",2006,Colorado,CO,Elbert County,8039,24.1
"CO, Fremont",2006,Colorado,CO,Fremont County,8043,66.3
"CO, Garfield",2006,Colorado,CO,Garfield County,8045,93.4
"CO, Gilpin",2006,Colorado,CO,Gilpin County,8047,Data unavailable
"CO, Grand",2006,Colorado,CO,Grand County,8049,51.1
"CO, Gunnison",2006,Colorado,CO,Gunnison County,8051,49.8
"CO, Hinsdale",2006,Colorado,CO,Hinsdale County,8053,Data unavailable
"CO, Huerfano",2006,Colorado,CO,Huerfano County,8055,93.5
"CO, Jackson",2006,Colorado,CO,Jackson County,8057,Data unavailable
"CO, Jefferson",2006,Colorado,CO,Jefferson County,8059,72.2
"CO, Kiowa",2006,Colorado,CO,Kiowa County,8061,77.0
"CO, Kit Carson",2006,Colorado,CO,Kit Carson County,8063,Data unavailable
"CO, La Plata",2006,Colorado,CO,La Plata County,8067,80.2
"CO, Lake",2006,Colorado,CO,Lake County,8065,72.6
"CO, Larimer",2006,Colorado,CO,Larimer County,8069,65.4
"CO, Las Animas",2006,Colorado,CO,Las Animas County,8071,117.3
"CO, Lincoln",2006,Colorado,CO,Lincoln County,8073,Data unavailable
"CO, Logan",2006,Colorado,CO,Logan County,8075,61.4
"CO, Mesa",2006,Colorado,CO,Mesa County,8077,93.1
"CO, Mineral",2006,Colorado,CO,Mineral County,8079,Data unavailable
"CO, Moffat",2006,Colorado,CO,Moffat County,8081,95.9
"CO, Montezuma",2006,Colorado,CO,Montezuma County,8083,77.6
"CO, Montrose",2006,Colorado,CO,Montrose County,8085,85.9
"CO, Morgan",2006,Colorado,CO,Morgan County,8087,70.8
"CO, Otero",2006,Colorado,CO,Otero County,8089,105.9
"CO, Ouray",2006,Colorado,CO,Ouray County,8091,49.8
"CO, Park",2006,Colorado,CO,Park County,8093,14.5
"CO, Phillips",2006,Colorado,CO,Phillips County,8095,38.0
"CO, Pitkin",2006,Colorado,CO,Pitkin County,8097,23.5
"CO, Prowers",2006,Colorado,CO,Prowers County,8099,78.6
"CO, Pueblo",2006,Colorado,CO,Pueblo County,8101,102.4
"CO, Rio Blanco",2006,Colorado,CO,Rio Blanco County,8103,Data unavailable
"CO, Rio Grande",2006,Colorado,CO,Rio Grande County,8105,50.1
"CO, Routt",2006,Colorado,CO,Routt County,8107,86.2
"CO, Saguache",2006,Colorado,CO,Saguache County,8109,Data unavailable
"CO, San Juan",2006,Colorado,CO,San Juan County,8111,Data unavailable
"CO, San Miguel",2006,Colorado,CO,San Miguel County,8113,42.9
"CO, Sedgwick",2006,Colorado,CO,Sedgwick County,8115,81.0
"CO, Summit",2006,Colorado,CO,Summit County,8117,75.6
"CO, Teller",2006,Colorado,CO,Teller County,8119,76.5
"CO, Washington",2006,Colorado,CO,Washington County,8121,41.4
"CO, Weld",2006,Colorado,CO,Weld County,8123,56.5
"CO, Yuma",2006,Colorado,CO,Yuma County,8125,64.3
"CT, Fairfield",2006,Connecticut,CT,Fairfield County,9001,50.4
"CT, Hartford",2006,Connecticut,CT,Hartford County,9003,68.9
"CT, Litchfield",2006,Connecticut,CT,Litchfield County,9005,67.0
"CT, Middlesex",2006,Connecticut,CT,Middlesex County,9007,67.4
"CT, New Haven",2006,Connecticut,CT,New Haven County,9009,73.3
"CT, New London",2006,Connecticut,CT,New London County,9011,73.0
"CT, Tolland",2006,Connecticut,CT,Tolland County,9013,47.8
"CT, Windham",2006,Connecticut,CT,Windham County,9015,73.7
"DC, District of Columbia",2006,District of Columbia,DC,District of Columbia County,11001,31.7
"DE, Kent",2006,Delaware,DE,Kent County,10001,80.9
"DE, New Castle",2006,Delaware,DE,New Castle County,10003,81.6
"DE, Sussex",2006,Delaware,DE,Sussex County,10005,105.7
"FL, Alachua",2006,Florida,FL,Alachua County,12001,87.4
"FL, Baker",2006,Florida,FL,Baker County,12003,148.0
"FL, Bay",2006,Florida,FL,Bay County,12005,120.4
"FL, Bradford",2006,Florida,FL,Bradford County,12007,94.0
"FL, Brevard",2006,Florida,FL,Brevard County,12009,95.5
"FL, Broward",2006,Florida,FL,Broward County,12011,66.2
"FL, Calhoun",2006,Florida,FL,Calhoun County,12013,77.1
"FL, Charlotte",2006,Florida,FL,Charlotte County,12015,102.3
"FL, Citrus",2006,Florida,FL,Citrus County,12017,100.0
"FL, Clay",2006,Florida,FL,Clay County,12019,94.9
"FL, Collier",2006,Florida,FL,Collier County,12021,76.1
"FL, Columbia",2006,Florida,FL,Columbia County,12023,127.3
"FL, DeSoto",2006,Florida,FL,DeSoto County,12027,60.1
"FL, Dixie",2006,Florida,FL,Dixie County,12029,54.7
"FL, Duval",2006,Florida,FL,Duval County,12031,90.3
"FL, Escambia",2006,Florida,FL,Escambia County,12033,121.6
"FL, Flagler",2006,Florida,FL,Flagler County,12035,91.9
"FL, Franklin",2006,Florida,FL,Franklin County,12037,110.5
"FL, Gadsden",2006,Florida,FL,Gadsden County,12039,58.4
"FL, Gilchrist",2006,Florida,FL,Gilchrist County,12041,59.8
"FL, Glades",2006,Florida,FL,Glades County,12043,Data unavailable
"FL, Gulf",2006,Florida,FL,Gulf County,12045,118.2
"FL, Hamilton",2006,Florida,FL,Hamilton County,12047,58.5
"FL, Hardee",2006,Florida,FL,Hardee County,12049,56.0
"FL, Hendry",2006,Florida,FL,Hendry County,12051,79.7
"FL, Hernando",2006,Florida,FL,Hernando County,12053,101.3
"FL, Highlands",2006,Florida,FL,Highlands County,12055,73.7
"FL, Hillsborough",2006,Florida,FL,Hillsborough County,12057,110.5
"FL, Holmes",2006,Florida,FL,Holmes County,12059,85.3
"FL, Indian River",2006,Florida,FL,Indian River County,12061,99.0
"FL, Jackson",2006,Florida,FL,Jackson County,12063,79.3
"FL, Jefferson",2006,Florida,FL,Jefferson County,12065,65.0
"FL, Lafayette",2006,Florida,FL,Lafayette County,12067,28.1
"FL, Lake",2006,Florida,FL,Lake County,12069,85.4
"FL, Lee",2006,Florida,FL,Lee County,12071,92.8
"FL, Leon",2006,Florida,FL,Leon County,12073,78.9
"FL, Levy",2006,Florida,FL,Levy County,12075,96.0
"FL, Liberty",2006,Florida,FL,Liberty County,12077,13.0
"FL, Madison",2006,Florida,FL,Madison County,12079,74.0
"FL, Manatee",2006,Florida,FL,Manatee County,12081,91.1
"FL, Marion",2006,Florida,FL,Marion County,12083,92.0
"FL, Martin",2006,Florida,FL,Martin County,12085,82.8
"FL, Miami-Dade",2006,Florida,FL,Miami-Dade County,12086,33.0
"FL, Monroe",2006,Florida,FL,Monroe County,12087,110.2
"FL, Nassau",2006,Florida,FL,Nassau County,12089,101.7
"FL, Okaloosa",2006,Florida,FL,Okaloosa County,12091,117.2
"FL, Okeechobee",2006,Florida,FL,Okeechobee County,12093,100.5
"FL, Orange",2006,Florida,FL,Orange County,12095,62.0
"FL, Osceola",2006,Florida,FL,Osceola County,12097,63.7
"FL, Palm Beach",2006,Florida,FL,Palm Beach County,12099,73.7
"FL, Pasco",2006,Florida,FL,Pasco County,12101,110.2
"FL, Pinellas",2006,Florida,FL,Pinellas County,12103,100.5
"FL, Polk",2006,Florida,FL,Polk County,12105,85.7
"FL, Putnam",2006,Florida,FL,Putnam County,12107,102.1
"FL, Santa Rosa",2006,Florida,FL,Santa Rosa County,12113,110.3
"FL, Sarasota",2006,Florida,FL,Sarasota County,12115,91.3
"FL, Seminole",2006,Florida,FL,Seminole County,12117,67.5
"FL, St. Johns",2006,Florida,FL,St. Johns County,12109,81.4
"FL, St. Lucie",2006,Florida,FL,St. Lucie County,12111,68.5
"FL, Sumter",2006,Florida,FL,Sumter County,12119,51.1
"FL, Suwannee",2006,Florida,FL,Suwannee County,12121,76.4
"FL, Taylor",2006,Florida,FL,Taylor County,12123,104.4
"FL, Union",2006,Florida,FL,Union County,12125,59.3
"FL, Volusia",2006,Florida,FL,Volusia County,12127,97.2
"FL, Wakulla",2006,Florida,FL,Wakulla County,12129,76.2
"FL, Walton",2006,Florida,FL,Walton County,12131,105.2
"FL, Washington",2006,Florida,FL,Washington County,12133,139.0
"GA, Appling",2006,Georgia,GA,Appling County,13001,88.9
"GA, Atkinson",2006,Georgia,GA,Atkinson County,13003,49.4
"GA, Bacon",2006,Georgia,GA,Bacon County,13005,145.7
"GA, Baker",2006,Georgia,GA,Baker County,13007,Data unavailable
"GA, Baldwin",2006,Georgia,GA,Baldwin County,13009,85.0
"GA, Banks",2006,Georgia,GA,Banks County,13011,7.0
"GA, Barrow",2006,Georgia,GA,Barrow County,13013,92.0
"GA, Bartow",2006,Georgia,GA,Bartow County,13015,97.5
"GA, Ben Hill",2006,Georgia,GA,Ben Hill County,13017,133.3
"GA, Berrien",2006,Georgia,GA,Berrien County,13019,100.1
"GA, Bibb",2006,Georgia,GA,Bibb County,13021,142.0
"GA, Bleckley",2006,Georgia,GA,Bleckley County,13023,128.9
"GA, Brantley",2006,Georgia,GA,Brantley County,13025,Data unavailable
"GA, Brooks",2006,Georgia,GA,Brooks County,13027,75.7
"GA, Bryan",2006,Georgia,GA,Bryan County,13029,55.4
"GA, Bulloch",2006,Georgia,GA,Bulloch County,13031,78.0
"GA, Burke",2006,Georgia,GA,Burke County,13033,72.0
"GA, Butts",2006,Georgia,GA,Butts County,13035,85.6
"GA, Calhoun",2006,Georgia,GA,Calhoun County,13037,Data unavailable
"GA, Camden",2006,Georgia,GA,Camden County,13039,87.0
"GA, Candler",2006,Georgia,GA,Candler County,13043,130.0
"GA, Carroll",2006,Georgia,GA,Carroll County,13045,120.0
"GA, Catoosa",2006,Georgia,GA,Catoosa County,13047,138.3
"GA, Charlton",2006,Georgia,GA,Charlton County,13049,91.7
"GA, Chatham",2006,Georgia,GA,Chatham County,13051,97.5
